DATE,cloud_cover,wind_speed,wind_gust,humidity,pressure,precipitation,sunshine,temp_mean,picnic_weather
20000101,7,2.5,8.0,0.97,1.024,0.1,0.0,6.1,False
20000102,8,3.7,9.0,0.97,1.0267,0.0,0.0,7.3,False
20000103,8,6.1,13.0,0.94,1.0203,0.45,0.0,8.4,False
20000104,7,3.8,15.0,0.94,1.0142,1.09,0.0,6.4,False
20000105,3,4.0,12.0,0.9,1.0183,0.0,6.5,4.4,False
20000106,6,5.2,11.0,0.91,1.0152,0.19,1.0,7.2,False
20000107,7,4.8,12.0,0.92,1.0199,0.0,0.0,6.1,False
20000108,6,4.3,12.0,0.94,1.0173,0.17,0.8,5.4,False
20000109,1,1.5,7.0,0.94,1.0257,0.0,5.7,0.8,False
20000110,3,1.8,5.0,0.97,1.0357,0.0,5.8,-0.8,False
20000111,6,4.0,8.0,0.87,1.0352,0.0,2.9,2.1,False
20000112,5,5.4,12.0,0.85,1.0276,0.0,6.7,0.7,False
20000113,7,4.2,10.0,0.83,1.0173,0.0,1.3,2.0,False
20000114,8,2.0,5.0,0.98,1.0215,0.0,0.0,2.9,False
20000115,7,2.7,7.0,0.9,1.0351,0.0,3.3,3.2,False
20000116,8,2.6,9.0,0.95,1.0358,0.03,0.0,5.4,False
20000117,7,4.7,13.0,0.93,1.0305,0.01,0.5,6.4,False
20000118,7,6.2,16.0,0.84,1.0269,0.03,1.6,6.6,False
20000119,7,2.9,9.0,0.87,1.0321,0.01,0.0,3.9,False
20000120,7,3.8,11.0,0.87,1.0293,0.15,0.0,5.2,False
20000121,6,3.7,12.0,0.87,1.0257,0.01,1.9,5.2,False
20000122,6,4.0,14.0,0.9,1.0115,0.53,1.7,4.7,False
20000123,6,3.3,11.0,0.85,1.0188,0.0,0.9,1.1,False
20000124,3,1.7,6.0,0.76,1.0254,0.0,7.7,-2.8,False
20000125,5,3.1,9.0,0.83,1.0283,0.0,3.1,0.5,False
20000126,7,3.3,7.0,0.89,1.0313,0.0,4.5,2.4,False
20000127,7,5.4,11.0,0.86,1.027,0.0,0.0,2.4,False
20000128,7,7.1,18.0,0.86,1.0135,0.03,0.0,3.2,False
20000129,8,9.4,21.0,0.87,0.9961,0.95,0.0,9.0,False
20000130,7,6.3,18.0,0.82,1.0098,0.01,0.1,9.1,False
20000131,8,7.3,20.0,0.87,1.0184,0.36,0.0,9.7,False
20000201,8,6.9,15.0,0.82,1.0163,0.14,0.7,9.0,False
20000202,4,4.7,12.0,0.87,1.0171,0.74,4.4,7.4,False
20000203,5,3.8,11.0,0.85,1.0308,0.0,2.7,6.4,False
20000204,8,6.4,14.0,0.91,1.0308,0.23,0.0,7.6,False
20000205,5,4.9,11.0,0.75,1.0272,0.0,7.5,8.4,False
20000206,8,4.6,11.0,0.88,1.0183,0.06,0.0,7.6,False
20000207,7,6.8,17.0,0.87,1.0106,0.69,3.5,7.9,False
20000208,5,7.3,16.0,0.79,1.0035,0.63,0.5,8.6,False
20000209,6,6.3,17.0,0.73,1.0183,0.0,1.3,6.5,False
20000210,5,5.8,16.0,0.82,1.0163,0.95,1.5,5.8,False
20000211,1,3.9,10.0,0.83,1.0267,0.0,7.7,4.6,False
20000212,4,5.8,16.0,0.86,1.0183,0.41,3.1,4.5,False
20000213,4,4.3,15.0,0.82,1.0175,0.0,6.1,5.2,False
20000214,5,3.7,10.0,0.88,1.0195,0.25,4.5,4.5,False
20000215,7,3.5,10.0,0.86,1.0118,0.18,2.6,6.6,False
20000216,6,5.4,16.0,0.79,0.9994,1.45,6.3,3.7,False
20000217,6,4.4,16.0,0.78,1.0073,0.1,5.5,3.6,False
20000218,8,4.8,13.0,0.89,1.0008,0.72,0.1,4.9,False
20000219,6,4.6,14.0,0.86,1.0087,0.09,0.7,4.8,False
20000220,3,2.3,11.0,0.84,1.0275,0.0,8.5,2.2,False
20000221,7,2.8,8.0,0.91,1.0274,0.06,4.0,2.2,False
20000222,7,2.1,7.0,0.96,1.0248,0.0,1.7,2.8,False
20000223,4,2.8,9.0,0.88,1.0232,0.0,5.8,5.1,False
20000224,8,4.6,11.0,0.82,1.0202,1.19,1.6,7.8,False
20000225,3,3.4,11.0,0.83,1.025,1.12,8.1,5.4,False
20000226,2,2.7,7.0,0.82,1.0305,0.0,8.1,3.4,False
20000227,7,5.5,13.0,0.72,1.0203,0.0,7.6,7.6,False
20000228,6,6.7,18.0,0.8,1.0108,0.12,0.5,9.2,False
20000229,6,6.9,18.0,0.87,1.0036,1.11,2.2,6.5,False
20000301,6,4.3,13.0,0.83,1.0046,0.32,4.1,5.3,False
20000302,6,6.8,20.0,0.86,1.0149,1.62,2.4,4.9,False
20000303,7,6.9,21.0,0.82,1.0034,1.4,2.9,6.9,False
20000304,4,4.3,19.0,0.81,1.021,0.39,5.9,1.9,False
20000305,6,3.5,11.0,0.85,1.0305,0.07,5.4,3.2,False
20000306,6,6.5,14.0,0.85,1.0257,0.0,0.7,6.3,False
20000307,8,6.3,15.0,0.89,1.0205,0.31,1.9,9.6,False
20000308,8,7.3,16.0,0.9,1.0175,1.18,0.0,11.1,False
20000309,8,6.5,17.0,0.84,1.0206,0.33,0.4,10.7,False
20000310,6,3.0,11.0,0.87,1.0244,0.1,2.4,6.5,False
20000311,7,5.3,15.0,0.84,1.0182,0.12,2.7,8.7,False
20000312,5,2.0,7.0,0.82,1.0257,0.0,5.9,7.7,False
20000313,7,2.8,7.0,0.93,1.024,0.0,0.5,7.7,False
20000314,7,5.0,17.0,0.86,1.0195,0.44,1.1,7.8,False
